Number of Variables,Number of Clauses,Time (seconds),Satisfiable (Solver),Expected
4,10,2.8848648071289062e-05,False,U
4,10,2.002716064453125e-05,True,S
4,10,2.4080276489257812e-05,False,U
4,10,4.0531158447265625e-06,True,S
4,10,1.621246337890625e-05,True,S
4,10,5.245208740234375e-06,True,S
4,10,2.5033950805664062e-05,True,S
4,10,2.002716064453125e-05,False,U
4,10,1.8835067749023438e-05,False,U
4,10,1.9073486328125e-05,False,U
8,16,0.0004291534423828125,False,U
8,16,0.000392913818359375,False,U
8,16,0.000164031982421875,True,S
8,16,0.00021195411682128906,True,S
8,16,0.00043129920959472656,False,U
8,16,0.00031685829162597656,False,U
8,16,0.00016689300537109375,True,S
8,16,0.0003180503845214844,False,U
8,16,0.00019216537475585938,True,S
8,16,2.8848648071289062e-05,True,S
12,24,0.0003879070281982422,True,S
12,24,0.0029408931732177734,True,S
12,24,0.006165027618408203,False,U
12,24,0.005583047866821289,False,U
12,24,0.0019240379333496094,True,S
12,24,0.006157875061035156,False,U
12,24,0.006724834442138672,False,U
12,24,0.0019538402557373047,True,S
12,24,0.006112098693847656,False,U
12,24,0.0051479339599609375,True,S
16,32,0.04249215126037598,True,S
16,32,0.09055900573730469,False,U
16,32,0.07296085357666016,True,S
16,32,0.0011341571807861328,True,S
16,32,0.03741621971130371,False,U
16,32,0.016249895095825195,True,S
16,32,0.08004999160766602,False,U
16,32,0.10895371437072754,False,U
16,32,0.02676081657409668,True,S
16,32,0.09759402275085449,False,U
18,36,0.3652222156524658,False,U
18,36,0.43048667907714844,False,U
18,36,0.34560370445251465,False,U
